"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00021840" "MATCH" "1" "pign-1" "Caenorhabditis elegans" "Y54E10BR.1" "WBGene00021840" "Gene" "Y54E10BR.1 is an ortholog of human PIGN (phosphatidylinositol glycan anchor biosynthesis class N); Y54E10BR.1 is involved in embryo development and nematode larval development;  PIGN has a large loop between the first and second transmembrane domains that contains three conserved motifs present in phosphodiesterases, nucleotide pyrophosphatases, and sulfatases, each of which is believed to be important for the PIGN catalytic activity in the EtNP transferase reaction; the mutations strongly (H263A in motif 3) or moderately (H218A in motif 2) affect the GPI synthesis activity of PIGN as determined by the surface expression of CD59 (GPI-AP) in PIGN-knockout HEK293 cells; PIGN-1/PIGN has a non-canonical function in protein quality control preventing protein aggregation within the ER in C. elegans and in mammalian cells; although PIGN was originally identified as an enzyme involved in glycosylphosphatidylinositol (GPI)-anchor biosynthesis, the function of PIGN-1/PIGN in protein quality control is independent of its enzymatic activities."
"WBGene00007514" "MATCH" "1" "catp-8" "Caenorhabditis elegans" "C10C6.6" "WBGene00007514" "Gene" ""
"WBGene00020510" "MATCH" "1" "T14G11.1" "Caenorhabditis elegans" "T14G11.1" "WBGene00020510" "Gene" ""
"WBGene00021841" "MATCH" "1" "Y54E10BR.2" "Caenorhabditis elegans" "Y54E10BR.2" "WBGene00021841" "Gene" ""
"WBGene00007513" "MATCH" "1" "wht-2" "Caenorhabditis elegans" "C10C6.5" "WBGene00007513" "Gene" "wht-2 encodes a putative member of subfamily G of the ATP-bindingcassette transporters; WHT-2 is required, redundantly with its paralogMRP-4, for sperm to normally migrate towards a PUFA-based signal exudedby oocytes; hermaphrodites subjected to double wht-2(RNAi) mrp-4(RNAi)are infertile, both through aberrant loss of their own sperm and throughfailure of males to effectively inseminate them; in mammalian eicosanoidsignalling, subfamily C ABC transporters are required for PUFA andeicosanoid transport."
"WBGene00020511" "MATCH" "1" "immt-1" "Caenorhabditis elegans" "T14G11.3" "WBGene00020511" "Gene" ""
"WBGene00021842" "MATCH" "1" "Y54E10BR.3" "Caenorhabditis elegans" "Y54E10BR.3" "WBGene00021842" "Gene" ""
"WBGene00008844" "MATCH" "1" "F15A4.10" "Caenorhabditis elegans" "F15A4.10" "WBGene00008844" "Gene" ""
"WBGene00007556" "MATCH" "1" "algn-9" "Caenorhabditis elegans" "C14A4.3" "WBGene00007556" "Gene" ""
"WBGene00008887" "MATCH" "1" "tbcd-1" "Caenorhabditis elegans" "F16D3.4" "WBGene00008887" "Gene" "F16D3.4 encodes a putative beta-tubulin folding cofactor D, orthologous to human TBCD (OMIM:604649); in early embryos, F16D3.4 is required for normally rapid microtubule elongation; F16D3.4 may be a ligand and effector of the ARL2 ortholog EVL-20; F16D3.4 is expressed in larval and adult pharynx, intestine, and neurons; in mass RNAi assays, F16D3.4 is required for normal mitotic spindle elongation, embryonic and larval viability, fertility, locomotion, body shape, vulval development, and cuticular integrity."
"WBGene00007555" "MATCH" "1" "dohh-1" "Caenorhabditis elegans" "C14A4.1" "WBGene00007555" "Gene" ""
"WBGene00008886" "MATCH" "1" "F16C3.2" "Caenorhabditis elegans" "F16C3.2" "WBGene00008886" "Gene" ""
"WBGene00007554" "MATCH" "1" "pptr-2" "Caenorhabditis elegans" "C13G3.3" "WBGene00007554" "Gene" ""
"WBGene00008885" "MATCH" "1" "F16C3.1" "Caenorhabditis elegans" "F16C3.1" "WBGene00008885" "Gene" ""
"WBGene00007553" "MATCH" "1" "C13G3.1" "Caenorhabditis elegans" "C13G3.1" "WBGene00007553" "Gene" ""
"WBGene00008882" "MATCH" "1" "F16B12.6" "Caenorhabditis elegans" "F16B12.6" "WBGene00008882" "Gene" ""
"WBGene00007550" "MATCH" "1" "C13C4.6" "Caenorhabditis elegans" "C13C4.6" "WBGene00007550" "Gene" ""
"WBGene00008880" "MATCH" "1" "F16B12.4" "Caenorhabditis elegans" "F16B12.4" "WBGene00008880" "Gene" ""
"WBGene00021818" "MATCH" "1" "Y53G8B.2" "Caenorhabditis elegans" "Y53G8B.2" "WBGene00021818" "Gene" ""
"WBGene00021810" "MATCH" "1" "phf-15" "Caenorhabditis elegans" "Y53G8AR.2" "WBGene00021810" "Gene" ""
"WBGene00021811" "MATCH" "1" "ral-1" "Caenorhabditis elegans" "Y53G8AR.3" "WBGene00021811" "Gene" ""
"WBGene00021812" "MATCH" "1" "Y53G8AR.5" "Caenorhabditis elegans" "Y53G8AR.5" "WBGene00021812" "Gene" ""
"WBGene00021813" "MATCH" "1" "Y53G8AR.6" "Caenorhabditis elegans" "Y53G8AR.6" "WBGene00021813" "Gene" ""
"WBGene00021815" "MATCH" "1" "Y53G8AR.8" "Caenorhabditis elegans" "Y53G8AR.8" "WBGene00021815" "Gene" ""
"WBGene00021816" "MATCH" "1" "Y53G8AR.9" "Caenorhabditis elegans" "Y53G8AR.9" "WBGene00021816" "Gene" ""
"WBGene00021817" "MATCH" "1" "Y53G8B.1" "Caenorhabditis elegans" "Y53G8B.1" "WBGene00021817" "Gene" ""
"WBGene00007549" "MATCH" "1" "spin-1" "Caenorhabditis elegans" "C13C4.5" "WBGene00007549" "Gene" ""
"WBGene00007548" "MATCH" "1" "C13C4.4" "Caenorhabditis elegans" "C13C4.4" "WBGene00007548" "Gene" ""
"WBGene00007547" "MATCH" "1" "nhr-154" "Caenorhabditis elegans" "C13C4.2" "WBGene00007547" "Gene" ""
"WBGene00008878" "MATCH" "1" "ppfr-1" "Caenorhabditis elegans" "F16A11.3" "WBGene00008878" "Gene" "ppfr-1 encodes a protein phosphatase regulatory subunit; PPFR-1 functions as a regulatory subunit of a protein phosphatase 4 complex that regulates the phosphorylation status, and activity of, the MEI-1/katanin microtubule severing activity during meiosis; ppfr-1(RNAi) in wild-type animals results in fertility defects in F1 hermaphrodites, who exhibit a 90-95% decrease in the total number of eggs laid; PPFR-1 physically interacts with MEL-26, a substrate recognition subunit for the CUL-3 E3 ubiquitin ligase that also physically interacts with MEI-1; PPFR-1 is localized to the cytoplasm."
"WBGene00006216" "MATCH" "1" "str-172" "Caenorhabditis elegans" "Y17G9A.5" "WBGene00006216" "Gene" ""
"WBGene00007546" "MATCH" "1" "nhr-153" "Caenorhabditis elegans" "C13C4.1" "WBGene00007546" "Gene" ""
"WBGene00008877" "MATCH" "1" "rtcb-1" "Caenorhabditis elegans" "F16A11.2" "WBGene00008877" "Gene" "rtcb-1 encodes the C. elegans ortholog of the mammalian tRNA splicing ligase RTCB; in C. elegans RTCB-1 is required for the ligation of tRNA halves during pre-tRNA processing, and for ligation of mRNAs, including the xbp-1 mRNA that is critical for proper execution of the endoplasmic reticulum unfolded protein response; when expressed in intestinal cells, an RTCB-1 reporter localizes to both the nucleus and the cytoplasm."
"WBGene00007545" "MATCH" "1" "C13B4.1" "Caenorhabditis elegans" "C13B4.1" "WBGene00007545" "Gene" ""
"WBGene00008876" "MATCH" "1" "F16A11.1" "Caenorhabditis elegans" "F16A11.1" "WBGene00008876" "Gene" ""
"WBGene00008871" "MATCH" "1" "tag-314" "Caenorhabditis elegans" "F15H10.4" "WBGene00008871" "Gene" ""
"WBGene00019509" "MATCH" "1" "K07H8.9" "Caenorhabditis elegans" "K07H8.9" "WBGene00019509" "Gene" ""
"WBGene00021829" "MATCH" "1" "mrpl-17" "Caenorhabditis elegans" "Y54E10A.7" "WBGene00021829" "Gene" ""
"WBGene00019506" "MATCH" "1" "K07H8.5" "Caenorhabditis elegans" "K07H8.5" "WBGene00019506" "Gene" ""
"WBGene00019503" "MATCH" "1" "tbce-1" "Caenorhabditis elegans" "K07H8.1" "WBGene00019503" "Gene" "K07H8.1 encodes a putative tubulin chaperone cofactor orthologous to human TBCE (OMIM:604934, mutated in HRD), and paralogous to COEL-1 and human TBCEL (LRRC35; OMIM:610451); K07H8.1 is required for normally short lifespan and for embryonic viability."
"WBGene00019504" "MATCH" "1" "K07H8.2" "Caenorhabditis elegans" "K07H8.2" "WBGene00019504" "Gene" "K07H8.2 encodes, by alternative splicing, three isoforms of an ortholog of human SLC41A1 (OMIM:610801) and bacterial MgtE; like its orthologs, K07H8.2 is predicted to transport Mg(2+) into cells; K07H8.2 is paralogous to ZK185.2 and ZK1053.6; K07H8.2 is expressed in intestine, but has no obvious function in mass RNAi assays."
"WBGene00019513" "MATCH" "1" "lido-7" "Caenorhabditis elegans" "K08A2.4" "WBGene00019513" "Gene" ""
"WBGene00019510" "MATCH" "1" "nucl-1" "Caenorhabditis elegans" "K07H8.10" "WBGene00019510" "Gene" ""
"WBGene00019511" "MATCH" "1" "lido-8" "Caenorhabditis elegans" "K08A2.1" "WBGene00019511" "Gene" ""
"WBGene00021826" "MATCH" "1" "txl-1" "Caenorhabditis elegans" "Y54E10A.3" "WBGene00021826" "Gene" "txl-1 encodes a C. elegans thioredoxin-like protein orthologous to mammalian TXNL1."
"WBGene00021827" "MATCH" "1" "dnc-6" "Caenorhabditis elegans" "Y54E10A.5" "WBGene00021827" "Gene" ""
"WBGene00021828" "MATCH" "1" "Y54E10A.6" "Caenorhabditis elegans" "Y54E10A.6" "WBGene00021828" "Gene" ""
"WBGene00021820" "MATCH" "1" "nipa-1" "Caenorhabditis elegans" "Y53G8B.4" "WBGene00021820" "Gene" "nipa-1 encodes, by alternative splicing, two isoforms of a putative  Mg(2+) transporter orthologous to Drosophila SPICT and to human NIPA1, NIPA2, NPAL1, and ICHTHYIN; like NIPA1, though the exact function of NIPA-1 is unclear, it most likely functions as an intracelluar magnesium transporter; overexpression of wild-type NIPA-1 using a pan-neuronal promoter did not cause any cellular or motor phenotypes; nipa-1(RNAi) embryos have sporadic  defects in pronuclear size/shape and yolk granules; NIPA-1 is transported to the axons in an unc-104 (kinesin-like motor protein homologous to the axonal transporter of synaptic vesicle precursor KIF1A) dependent manner."
"WBGene00007578" "MATCH" "1" "C14B1.7" "Caenorhabditis elegans" "C14B1.7" "WBGene00007578" "Gene" ""
"WBGene00007577" "MATCH" "1" "nrde-1" "Caenorhabditis elegans" "C14B1.6" "WBGene00007577" "Gene" "nrde-1 encodes a novel protein conserved amongst nematodes; NRDE-1 activity is required, along with that of NRDE-2, NRDE-3, and NRDE-4, for regulation of gene expression via a nuclear RNAi pathway that inhibits RNA polymerase II elongation and deposits histone H3K9 methylation on genomic regions targeted by RNAi; an NRDE-1:GFP fusion protein localizes to the nucleus."
"WBGene00007576" "MATCH" "1" "dph-1" "Caenorhabditis elegans" "C14B1.5" "WBGene00007576" "Gene" "dph-1 encodes an ortholog of S. cerevisiae YIL103 and human DPH2L1/OVCA1 (OMIM:603527, deleted or downregulated in ovarian tumors); DPH-1 is paralogous to S. cerevisiae DPH2/YKL191W, a protein component of diphtamide synthesis."
"WBGene00007574" "MATCH" "1" "C14B1.3" "Caenorhabditis elegans" "C14B1.3" "WBGene00007574" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins."
"WBGene00007573" "MATCH" "1" "C14B1.2" "Caenorhabditis elegans" "C14B1.2" "WBGene00007573" "Gene" ""
"WBGene00018228" "MATCH" "1" "F40C5.1" "Caenorhabditis elegans" "F40C5.1" "WBGene00018228" "Gene" ""
"WBGene00021876" "MATCH" "1" "Y54G2A.11" "Caenorhabditis elegans" "Y54G2A.11" "WBGene00021876" "Gene" ""
"WBGene00021877" "MATCH" "1" "Y54G2A.12" "Caenorhabditis elegans" "Y54G2A.12" "WBGene00021877" "Gene" ""
"WBGene00019568" "MATCH" "1" "K09D9.11" "Caenorhabditis elegans" "K09D9.11" "WBGene00019568" "Gene" ""
"WBGene00018236" "MATCH" "1" "fbxb-71" "Caenorhabditis elegans" "F40F4.1" "WBGene00018236" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins; its encoded protein also contains a Pfam-B45 motif of presently unknown function."
"WBGene00020549" "MATCH" "1" "nmt-1" "Caenorhabditis elegans" "T17E9.2" "WBGene00020549" "Gene" "nmt-1 encodes an N-myristoyl transferase; by homology, NMT-1 is predicted to catalyze the cotranslational attachment of myristate from CoA to the N-terminal glycine residue of proteins; in C. elegans, nmt-1 is widely expressed and required for a number of diverse processes, including development, locomotion, and apoptosis."
"WBGene00018230" "MATCH" "1" "mage-1" "Caenorhabditis elegans" "F40E3.2" "WBGene00018230" "Gene" "mage-1 encodes the single C. elegans homolog of the mammalian type II melanoma antigen (Mage)."
"WBGene00021870" "MATCH" "1" "samt-1" "Caenorhabditis elegans" "Y54G2A.4" "WBGene00021870" "Gene" ""
"WBGene00020540" "MATCH" "1" "pals-25" "Caenorhabditis elegans" "T17A3.2" "WBGene00020540" "Gene" ""
"WBGene00021871" "MATCH" "1" "dml-1" "Caenorhabditis elegans" "Y54G2A.5" "WBGene00021871" "Gene" ""
"WBGene00219849" "MATCH" "1" "C36C9.10" "Caenorhabditis elegans" "C36C9.10" "WBGene00219849" "Gene" ""
"WBGene00020541" "MATCH" "1" "fbxb-81" "Caenorhabditis elegans" "T17A3.3" "WBGene00020541" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins; its encoded protein also contains a Pfam-B45 motif of presently unknown function."
"WBGene00021872" "MATCH" "1" "clec-85" "Caenorhabditis elegans" "Y54G2A.6" "WBGene00021872" "Gene" ""
"WBGene00020542" "MATCH" "1" "fbxb-82" "Caenorhabditis elegans" "T17A3.4" "WBGene00020542" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins; its encoded protein also contains a Pfam-B45 motif of presently unknown function."
"WBGene00044517" "MATCH" "1" "Y32G9A.13" "Caenorhabditis elegans" "Y32G9A.13" "WBGene00044517" "Gene" ""
"WBGene00020543" "MATCH" "1" "fbxb-83" "Caenorhabditis elegans" "T17A3.6" "WBGene00020543" "Gene" ""
"WBGene00044514" "MATCH" "1" "R09E12.9" "Caenorhabditis elegans" "R09E12.9" "WBGene00044514" "Gene" ""
"WBGene00020544" "MATCH" "1" "fbxb-84" "Caenorhabditis elegans" "T17A3.7" "WBGene00020544" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins; its encoded protein also contains a Pfam-B45 motif of presently unknown function."
"WBGene00008897" "MATCH" "1" "F16H6.7" "Caenorhabditis elegans" "F16H6.7" "WBGene00008897" "Gene" ""
"WBGene00006234" "MATCH" "1" "str-198" "Caenorhabditis elegans" "ZK285.1" "WBGene00006234" "Gene" ""
"WBGene00007564" "MATCH" "1" "mrps-22" "Caenorhabditis elegans" "C14A4.14" "WBGene00007564" "Gene" ""
"WBGene00007562" "MATCH" "1" "C14A4.12" "Caenorhabditis elegans" "C14A4.12" "WBGene00007562" "Gene" ""
"WBGene00007561" "MATCH" "1" "ccm-3" "Caenorhabditis elegans" "C14A4.11" "WBGene00007561" "Gene" "ccm-3 encodes a protein with similarity to vertebrate programmed cell death protein 10, also known as TFAR15 or CCM3, which is associated with cerebral cavernous malformations type 3 (OMIM:603285); in C. elegans, deletion mutations in ccm-3 are associated with sterility and lethality and large-scale RNAi experiments targeting ccm-3 result in embryonic lethality, body morphology defects, and maternal sterility; large-scale expression studies show that ccm-3 is widely expressed from mid-embryogenesis onward, with consistent expression seen in the intestine and the vulva."
"WBGene00008890" "MATCH" "1" "ser-5" "Caenorhabditis elegans" "F16D3.7" "WBGene00008890" "Gene" "ser-5 encodes a biogenic amine receptor that is most closely related to mammalian serotonin/5-HT-6 receptors; SER-5 functions in the ASH chemosensory neurons to coordinate sensory input and locomotory behavior and in muscles to regulate serotonin's effects on egg laying; heterologously expressed ser-5 has no effect on adenylate cyclase signaling; ser-5 reporter fusions are expressed in vulval and bodywall muscles and head neurons, including ASH and AWB."
"WBGene00206525" "MATCH" "1" "spp-28" "Caenorhabditis elegans" "R74.10" "WBGene00206525" "Gene" ""
"WBGene00018239" "MATCH" "1" "sec-20" "Caenorhabditis elegans" "F40G9.1" "WBGene00018239" "Gene" ""
"WBGene00018238" "MATCH" "1" "F40F4.7" "Caenorhabditis elegans" "F40F4.7" "WBGene00018238" "Gene" ""
"WBGene00019569" "MATCH" "1" "K09D9.12" "Caenorhabditis elegans" "K09D9.12" "WBGene00019569" "Gene" ""
"WBGene00018246" "MATCH" "1" "clec-148" "Caenorhabditis elegans" "F40G9.10" "WBGene00018246" "Gene" ""
"WBGene00020556" "MATCH" "1" "pamn-1" "Caenorhabditis elegans" "T19B4.1" "WBGene00020556" "Gene" ""
"WBGene00044501" "MATCH" "1" "C55C3.8" "Caenorhabditis elegans" "C55C3.8" "WBGene00044501" "Gene" ""
"WBGene00021887" "MATCH" "1" "fbxc-45" "Caenorhabditis elegans" "Y54G2A.22" "WBGene00021887" "Gene" ""
"WBGene00019578" "MATCH" "1" "K09E3.7" "Caenorhabditis elegans" "K09E3.7" "WBGene00019578" "Gene" ""
"WBGene00020557" "MATCH" "1" "T19B4.3" "Caenorhabditis elegans" "T19B4.3" "WBGene00020557" "Gene" ""
"WBGene00021888" "MATCH" "1" "manf-1" "Caenorhabditis elegans" "Y54G2A.23" "WBGene00021888" "Gene" "Y54G2A.23 is orthologous to the human genes CDNF (Conserved Dopamine Neurotrophic Factor), also known as ARMETL1 (Arginine-Rich Protein Mutated In Early Stage Tumors-Like 1) and MANF (Mesencephalic Astrocyte-derived Neurotrophic Factor); CDNF is involved in the survival and function of dopaminergic neurons."
"WBGene00018248" "MATCH" "1" "F40G9.14" "Caenorhabditis elegans" "F40G9.14" "WBGene00018248" "Gene" ""
"WBGene00019576" "MATCH" "1" "lido-5" "Caenorhabditis elegans" "K09E3.5" "WBGene00019576" "Gene" ""
"WBGene00020558" "MATCH" "1" "T19B4.5" "Caenorhabditis elegans" "T19B4.5" "WBGene00020558" "Gene" ""
"WBGene00206530" "MATCH" "1" "Y52B11A.19" "Caenorhabditis elegans" "Y52B11A.19" "WBGene00206530" "Gene" ""
"WBGene00018247" "MATCH" "1" "F40G9.12" "Caenorhabditis elegans" "F40G9.12" "WBGene00018247" "Gene" ""
"WBGene00019577" "MATCH" "1" "lido-6" "Caenorhabditis elegans" "K09E3.6" "WBGene00019577" "Gene" ""
"WBGene00020559" "MATCH" "1" "best-17" "Caenorhabditis elegans" "T19C3.1" "WBGene00020559" "Gene" ""
"WBGene00206532" "MATCH" "1" "F11A6.15" "Caenorhabditis elegans" "F11A6.15" "WBGene00206532" "Gene" ""
"WBGene00019572" "MATCH" "1" "K09E2.3" "Caenorhabditis elegans" "K09E2.3" "WBGene00019572" "Gene" ""
"WBGene00018240" "MATCH" "1" "cox-17" "Caenorhabditis elegans" "F40G9.2" "WBGene00018240" "Gene" ""
"WBGene00021881" "MATCH" "1" "Y54G2A.16" "Caenorhabditis elegans" "Y54G2A.16" "WBGene00021881" "Gene" ""
"WBGene00021882" "MATCH" "1" "nprt-1" "Caenorhabditis elegans" "Y54G2A.17" "WBGene00021882" "Gene" ""
"WBGene00044508" "MATCH" "1" "nsy-7" "Caenorhabditis elegans" "C18F3.4" "WBGene00044508" "Gene" "nsy-7 encodes a protein with distant similarity to homeodomain transcription factors; during neuronal development, nsy-7 functions downstream of an initial embryonic signaling pathway involving unc-2, unc-36, and nsy-1, to coordinate the transition from initial establishment to subsequent stable specification (maintenance) of the AWC-ON cell fate; in regulating the AWC-ON fate, NSY-7 likely acts as a transcriptional regulator that represses expression of AWC-OFF genes, such as srsx-3 and hlh-11, in the AWC-ON cell; in vitro, NSY-7 displays sequence-specific, DNA-binding activity to elements found within the promoter regions of srsx-3 and hlh-11; consistent with its role as a transcriptional regulator, a NSY-7::GFP reporter localizes to the AWC nucleus; nsy-7::gfp promoter fusions are expressed in gut, the amphid sheath glial cells, and head and tail neurons including AWC, ASE, and ASH."
"WBGene00020551" "MATCH" "1" "T17H7.7" "Caenorhabditis elegans" "T17H7.7" "WBGene00020551" "Gene" ""
"WBGene00219838" "MATCH" "1" "C28H8.14" "Caenorhabditis elegans" "C28H8.14" "WBGene00219838" "Gene" ""
"WBGene00021883" "MATCH" "1" "Y54G2A.18" "Caenorhabditis elegans" "Y54G2A.18" "WBGene00021883" "Gene" ""
"WBGene00020553" "MATCH" "1" "ttc-17" "Caenorhabditis elegans" "T19A5.1" "WBGene00020553" "Gene" ""
"WBGene00021884" "MATCH" "1" "Y54G2A.19" "Caenorhabditis elegans" "Y54G2A.19" "WBGene00021884" "Gene" ""
"WBGene00007558" "MATCH" "1" "C14A4.7" "Caenorhabditis elegans" "C14A4.7" "WBGene00007558" "Gene" ""
"WBGene00008889" "MATCH" "1" "F16D3.6" "Caenorhabditis elegans" "F16D3.6" "WBGene00008889" "Gene" ""
"WBGene00020554" "MATCH" "1" "T19A5.3" "Caenorhabditis elegans" "T19A5.3" "WBGene00020554" "Gene" ""
"WBGene00007557" "MATCH" "1" "C14A4.6" "Caenorhabditis elegans" "C14A4.6" "WBGene00007557" "Gene" ""
"WBGene00044504" "MATCH" "1" "R13A1.10" "Caenorhabditis elegans" "R13A1.10" "WBGene00044504" "Gene" ""
"WBGene00007598" "MATCH" "1" "C15A11.4" "Caenorhabditis elegans" "C15A11.4" "WBGene00007598" "Gene" ""
"WBGene00007593" "MATCH" "1" "C14H10.3" "Caenorhabditis elegans" "C14H10.3" "WBGene00007593" "Gene" ""
"WBGene00007592" "MATCH" "1" "C14H10.2" "Caenorhabditis elegans" "C14H10.2" "WBGene00007592" "Gene" ""
"WBGene00007591" "MATCH" "1" "zipt-13" "Caenorhabditis elegans" "C14H10.1" "WBGene00007591" "Gene" ""
"WBGene00007590" "MATCH" "1" "ttr-43" "Caenorhabditis elegans" "C14C10.7" "WBGene00007590" "Gene" ""
"WBGene00018206" "MATCH" "1" "ugt-61" "Caenorhabditis elegans" "F39G3.1" "WBGene00018206" "Gene" ""
"WBGene00019538" "MATCH" "1" "K08D12.4" "Caenorhabditis elegans" "K08D12.4" "WBGene00019538" "Gene" ""
"WBGene00018208" "MATCH" "1" "F39G3.3" "Caenorhabditis elegans" "F39G3.3" "WBGene00018208" "Gene" ""
"WBGene00018207" "MATCH" "1" "F39G3.2" "Caenorhabditis elegans" "F39G3.2" "WBGene00018207" "Gene" ""
"WBGene00019537" "MATCH" "1" "K08D12.3" "Caenorhabditis elegans" "K08D12.3" "WBGene00019537" "Gene" "K08D12.3 is orthologous to human ZNF9 (CNBP; OMIM:116955, mutated in myotonic dystrophy type 2) and ZCCHC13; like ZNF9, K08D12.3 is most conspicuously expressed in muscle cells; K08D12.3 is required for normal locomotion in mass RNAi assays, as well as for fertility, embryonic and larval viability, and general health."
"WBGene00021854" "MATCH" "1" "Y54F10AR.1" "Caenorhabditis elegans" "Y54F10AR.1" "WBGene00021854" "Gene" ""
"WBGene00019545" "MATCH" "1" "K09B3.1" "Caenorhabditis elegans" "K09B3.1" "WBGene00019545" "Gene" ""
"WBGene00019546" "MATCH" "1" "glct-6" "Caenorhabditis elegans" "W07G9.2" "WBGene00019546" "Gene" ""
"WBGene00021855" "MATCH" "1" "Y54F10AR.2" "Caenorhabditis elegans" "Y54F10AR.2" "WBGene00021855" "Gene" ""
"WBGene00018212" "MATCH" "1" "F39H12.1" "Caenorhabditis elegans" "F39H12.1" "WBGene00018212" "Gene" ""
"WBGene00018215" "MATCH" "1" "igcm-1" "Caenorhabditis elegans" "F39H12.4" "WBGene00018215" "Gene" "igcm-1 encodes a protein containing immunoglobulin and fibronectin repeats; igcm-1 promoter::gfp fusions are expressed in the labial neurons, including the sheath and socket cells, as well as in the pharynx and lateral hypodermis."
"WBGene00019543" "MATCH" "1" "cif-1" "Caenorhabditis elegans" "K08F11.3" "WBGene00019543" "Gene" ""
"WBGene00021856" "MATCH" "1" "ppm-1.D" "Caenorhabditis elegans" "Y54F10BM.1" "WBGene00021856" "Gene" ""
"WBGene00018214" "MATCH" "1" "F39H12.3" "Caenorhabditis elegans" "F39H12.3" "WBGene00018214" "Gene" ""
"WBGene00019544" "MATCH" "1" "miro-1" "Caenorhabditis elegans" "K08F11.5" "WBGene00019544" "Gene" ""
"WBGene00021857" "MATCH" "1" "iffb-1" "Caenorhabditis elegans" "Y54F10BM.2" "WBGene00021857" "Gene" ""
"WBGene00021858" "MATCH" "1" "Y54F10BM.3" "Caenorhabditis elegans" "Y54F10BM.3" "WBGene00021858" "Gene" ""
"WBGene00020528" "MATCH" "1" "lgc-54" "Caenorhabditis elegans" "T15B7.16" "WBGene00020528" "Gene" ""
"WBGene00018211" "MATCH" "1" "oac-24" "Caenorhabditis elegans" "F39G3.6" "WBGene00018211" "Gene" ""
"WBGene00018210" "MATCH" "1" "F39G3.5" "Caenorhabditis elegans" "F39G3.5" "WBGene00018210" "Gene" ""
"WBGene00021853" "MATCH" "1" "Y54F10AM.11" "Caenorhabditis elegans" "Y54F10AM.11" "WBGene00021853" "Gene" ""
"WBGene00007589" "MATCH" "1" "erg-28" "Caenorhabditis elegans" "C14C10.6" "WBGene00007589" "Gene" ""
"WBGene00007588" "MATCH" "1" "C14C10.5" "Caenorhabditis elegans" "C14C10.5" "WBGene00007588" "Gene" ""
"WBGene00007587" "MATCH" "1" "mma-1" "Caenorhabditis elegans" "C14C10.4" "WBGene00007587" "Gene" ""
"WBGene00006256" "MATCH" "1" "str-225" "Caenorhabditis elegans" "C07G3.6" "WBGene00006256" "Gene" ""
"WBGene00007586" "MATCH" "1" "ril-2" "Caenorhabditis elegans" "C14C10.3" "WBGene00007586" "Gene" ""
"WBGene00007585" "MATCH" "1" "C14C10.2" "Caenorhabditis elegans" "C14C10.2" "WBGene00007585" "Gene" ""
"WBGene00007583" "MATCH" "1" "C14B4.2" "Caenorhabditis elegans" "C14B4.2" "WBGene00007583" "Gene" ""
"WBGene00007581" "MATCH" "1" "alkb-8" "Caenorhabditis elegans" "C14B1.10" "WBGene00007581" "Gene" ""
"WBGene00007580" "MATCH" "1" "C14B1.9" "Caenorhabditis elegans" "C14B1.9" "WBGene00007580" "Gene" ""
"WBGene00235095" "MATCH" "1" "B0035.21" "Caenorhabditis elegans" "B0035.21" "WBGene00235095" "Gene" ""
"WBGene00018217" "MATCH" "1" "F40A3.2" "Caenorhabditis elegans" "F40A3.2" "WBGene00018217" "Gene" ""
"WBGene00018219" "MATCH" "1" "F40A3.4" "Caenorhabditis elegans" "F40A3.4" "WBGene00018219" "Gene" ""
"WBGene00018218" "MATCH" "1" "F40A3.3" "Caenorhabditis elegans" "F40A3.3" "WBGene00018218" "Gene" ""
"WBGene00019556" "MATCH" "1" "K09C6.2" "Caenorhabditis elegans" "K09C6.2" "WBGene00019556" "Gene" ""
"WBGene00021866" "MATCH" "1" "Y54F10BM.12" "Caenorhabditis elegans" "Y54F10BM.12" "WBGene00021866" "Gene" ""
"WBGene00018226" "MATCH" "1" "F40B5.2" "Caenorhabditis elegans" "F40B5.2" "WBGene00018226" "Gene" ""
"WBGene00021867" "MATCH" "1" "Y54F10BM.13" "Caenorhabditis elegans" "Y54F10BM.13" "WBGene00021867" "Gene" ""
"WBGene00019554" "MATCH" "1" "K09C4.10" "Caenorhabditis elegans" "K09C4.10" "WBGene00019554" "Gene" ""
"WBGene00021868" "MATCH" "1" "atln-1" "Caenorhabditis elegans" "Y54G2A.2" "WBGene00021868" "Gene" ""
"WBGene00020537" "MATCH" "1" "fbxb-37" "Caenorhabditis elegans" "T16A1.8" "WBGene00020537" "Gene" "This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins; its encoded protein also contains a Pfam-B45 motif of presently unknown function."
